Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public
Tanya Solis,YNG LA Universities,90038,tanyasolis,tanyasolis,+1 (555) 353-1570,tanya.solis@company.com,no,yes,no,yes
Jeffrey Burnett,YNG Las Vegas,89107,jeffreyburnett,jeffreyburnett,+1 (555) 977-4110,jeffrey.burnett@ucla.edu,yes,yes,yes,no
Monica Perez,YNG San Diego,92103,monicaperez,monicaperez,+1 (555) 890-3062,monica.perez@gmail.com,no,no,yes,yes
Phillip Smith,YNG Utah,84115,phillipsmith,NP,NP,phillip.smith@yahoo.com,yes,NP,NP,no
John Spencer,YNG Seattle,98111,johnspencer,johnspencer,+1 (555) 720-9721,john.spencer@icloud.com,yes,yes,no,no
Wayne Johnson,YNG Los Angeles,90002,waynejohnson,waynejohnson,+1 (555) 002-8736,wayne.johnson@ucla.edu,no,no,yes,no
Phyllis Burnett,YNG Seattle,98109,phyllisburnett,phyllisburnett,+1 (555) 449-3592,phyllis.burnett@yahoo.com,yes,no,no,no
John Bryant,YNG Seattle,98101,johnbryant,johnbryant,+1 (555) 202-4665,john.bryant@yahoo.com,yes,yes,yes,no
William Morton,YNG Los Angeles,90008,williammorton,williammorton,+1 (555) 714-3740,william.morton@icloud.com,no,yes,no,no
Caroline Odonnell,YNG Los Angeles,90004,carolineodonnell,carolineodonnell,NP,caroline.odonnell@outlook.com,no,no,NP,no
Christian Reynolds,YNG Seattle,98114,christianreynolds,christianreynolds,+1 (555) 946-8105,christian.reynolds@ucla.edu,yes,no,no,yes
Tyler Spencer,YNG San Diego,92104,tylerspencer,NP,+1 (555) 604-3660,tyler.spencer@icloud.com,yes,NP,no,yes
Maria Miller,YNG San Francisco,94116,mariamiller,mariamiller,+1 (555) 718-0575,maria.miller@yahoo.com,no,yes,no,no
Luke White,YNG Utah,84107,lukewhite,NP,+1 (555) 553-6002,luke.white@ucla.edu,yes,NP,yes,no
James Carter,YNG Las Vegas,89103,NP,NP,+1 (555) 481-0870,james.carter@gmail.com,NP,NP,no,yes
Sean Mckinney,YNG San Diego,92114,seanmckinney,seanmckinney,+1 (555) 536-6986,sean.mckinney@icloud.com,yes,no,yes,yes
Alexis Reyes,YNG Los Angeles,90010,alexisreyes,alexisreyes,+1 (555) 583-8186,alexis.reyes@aol.com,yes,yes,yes,yes
Steven Smith,YNG Utah,84114,NP,stevensmith,+1 (555) 232-8874,steven.smith@mac.com,NP,no,yes,no
Jeffrey Palmer,YNG Seattle,98103,jeffreypalmer,jeffreypalmer,+1 (555) 903-1909,jeffrey.palmer@yahoo.com,no,no,yes,yes
Christina Hobbs,YNG San Francisco,94108,christinahobbs,NP,+1 (555) 824-3336,christina.hobbs@ucla.edu,yes,NP,yes,yes
Mark Oliver,YNG Los Angeles,90002,markoliver,NP,+1 (555) 599-1443,mark.oliver@ucla.edu,no,NP,yes,no
Dr. Anthony Parker,YNG Los Angeles,90007,dr.anthonyparker,NP,+1 (555) 964-0842,dr..anthony.parker@mac.com,no,NP,yes,yes
Peter Pace,YNG Los Angeles,90011,peterpace,peterpace,+1 (555) 931-7269,peter.pace@gmail.com,no,yes,no,no
Kathleen Farmer,YNG Las Vegas,89102,kathleenfarmer,NP,+1 (555) 749-6856,kathleen.farmer@aol.com,no,NP,no,yes
Tiffany Schneider,YNG San Diego,92105,NP,tiffanyschneider,+1 (555) 489-2253,tiffany.schneider@ucla.edu,NP,no,no,yes
David Reyes,YNG Utah,84116,davidreyes,davidreyes,NP,david.reyes@outlook.com,no,no,NP,yes
Cynthia Thompson,YNG Los Angeles,90012,cynthiathompson,cynthiathompson,+1 (555) 934-0046,cynthia.thompson@jimenez-jordan.info,yes,yes,yes,no
Victoria Estrada,YNG LA Universities,90024,NP,victoriaestrada,+1 (555) 838-6166,victoria.estrada@stanford.edu,NP,no,no,yes
Mark Gaines,YNG Las Vegas,89109,markgaines,NP,+1 (555) 516-4259,mark.gaines@stanford.edu,yes,NP,yes,no
David Stevens,YNG San Diego,92110,davidstevens,davidstevens,NP,david.stevens@aol.com,no,yes,NP,yes
John Jones,YNG Los Angeles,90002,NP,johnjones,+1 (555) 408-5081,john.jones@gmail.com,NP,yes,yes,no
Carrie Young,YNG Los Angeles,90003,carrieyoung,carrieyoung,+1 (555) 326-7324,carrie.young@icloud.com,yes,no,no,no
Edward Rodriguez,YNG Seattle,98113,edwardrodriguez,edwardrodriguez,+1 (555) 234-9585,edward.rodriguez@stanford.edu,yes,yes,yes,no
Dana Lane,YNG Los Angeles,90016,danalane,danalane,+1 (555) 291-0133,dana.lane@lopez-fletcher.biz,yes,no,yes,no
Andrea Scott,YNG Los Angeles,90009,andreascott,andreascott,NP,andrea.scott@stanford.edu,yes,yes,NP,yes
Danielle Myers,YNG San Francisco,94121,NP,daniellemyers,+1 (555) 358-5141,danielle.myers@aol.com,NP,no,no,yes
Taylor Cuevas,YNG Las Vegas,89112,taylorcuevas,taylorcuevas,+1 (555) 925-7947,taylor.cuevas@aol.com,yes,no,no,no
Ryan Brown,YNG Los Angeles,90013,ryanbrown,ryanbrown,+1 (555) 235-7515,ryan.brown@gmail.com,no,no,no,no
Glenda Stephens,YNG Seattle,98111,NP,glendastephens,+1 (555) 620-5014,glenda.stephens@aol.com,NP,no,yes,yes
Gail Stewart,YNG LA Universities,90042,gailstewart,gailstewart,+1 (555) 800-1980,gail.stewart@yahoo.com,no,yes,yes,no
Craig Simpson,YNG San Francisco,94111,craigsimpson,craigsimpson,+1 (555) 635-3470,craig.simpson@mac.com,yes,no,yes,no
Joseph Mcfarland,YNG Utah,84109,josephmcfarland,NP,NP,joseph.mcfarland@icloud.com,yes,NP,NP,no
Mrs. Miranda Smith,YNG Las Vegas,89110,mrs.mirandasmith,mrs.mirandasmith,+1 (555) 609-2319,mrs..miranda.smith@mac.com,no,yes,yes,yes
Breanna Oconnell,YNG Seattle,98111,breannaoconnell,breannaoconnell,+1 (555) 672-3492,breanna.oconnell@ucla.edu,yes,no,yes,yes
Barbara Norman,YNG Utah,84101,NP,barbaranorman,+1 (555) 042-1186,barbara.norman@icloud.com,NP,yes,yes,yes
Stacey Campbell,YNG San Diego,92105,staceycampbell,staceycampbell,+1 (555) 567-9779,stacey.campbell@icloud.com,yes,no,no,no
Bradley Berry,YNG Seattle,98113,bradleyberry,bradleyberry,+1 (555) 475-0738,bradley.berry@ucla.edu,no,yes,no,yes
Amanda Oneal,YNG Los Angeles,90006,NP,NP,+1 (555) 902-4111,amanda.oneal@outlook.com,NP,NP,yes,no
Brittney Fields,YNG San Diego,92103,brittneyfields,brittneyfields,+1 (555) 400-5300,brittney.fields@aol.com,no,no,no,no
Jason Robertson,YNG San Francisco,94105,jasonrobertson,jasonrobertson,+1 (555) 853-9890,jason.robertson@stanford.edu,no,no,yes,yes
Stefanie Ray,YNG LA Universities,90041,stefanieray,stefanieray,NP,stefanie.ray@yahoo.com,yes,yes,NP,yes
William Moore,YNG San Francisco,94108,williammoore,williammoore,+1 (555) 259-3385,william.moore@smith.com,no,no,yes,yes
Austin Johnson,YNG Los Angeles,90012,austinjohnson,austinjohnson,+1 (555) 013-6927,austin.johnson@walker-ingram.com,yes,yes,no,no
Jamie Mays,YNG Seattle,98104,NP,jamiemays,+1 (555) 332-0003,jamie.mays@ucla.edu,NP,no,no,no
Catherine Fischer,YNG LA Universities,90042,NP,catherinefischer,NP,catherine.fischer@company.com,NP,yes,NP,no
Jason Sanchez,YNG LA Universities,90036,jasonsanchez,NP,NP,jason.sanchez@icloud.com,no,NP,NP,yes
Sarah Rodriguez,YNG Los Angeles,90015,sarahrodriguez,sarahrodriguez,NP,sarah.rodriguez@outlook.com,no,yes,NP,yes
Aaron Ross,YNG Seattle,98103,aaronross,NP,NP,aaron.ross@aol.com,no,NP,NP,yes
Katherine Navarro,YNG LA Universities,90024,NP,katherinenavarro,+1 (555) 355-7040,katherine.navarro@stanford.edu,NP,no,yes,yes
Courtney Mcneil,YNG San Diego,92101,courtneymcneil,courtneymcneil,NP,courtney.mcneil@aol.com,yes,yes,NP,no
Megan Johnson,YNG Las Vegas,89101,meganjohnson,meganjohnson,+1 (555) 302-1255,megan.johnson@aol.com,no,no,no,no
Teresa Young,YNG San Diego,92108,teresayoung,teresayoung,+1 (555) 261-6156,teresa.young@mac.com,no,yes,no,yes
Kenneth Smith,YNG Seattle,98107,kennethsmith,kennethsmith,+1 (555) 056-6947,kenneth.smith@richardson.info,no,yes,no,no
Mark Ellis,YNG LA Universities,90043,NP,NP,NP,mark.ellis@company.com,NP,NP,NP,no
Sara Ibarra,YNG Utah,84105,saraibarra,saraibarra,+1 (555) 133-9474,sara.ibarra@yahoo.com,no,no,yes,yes
Carolyn Swanson,YNG Las Vegas,89115,carolynswanson,NP,+1 (555) 162-9689,carolyn.swanson@nelson-dean.biz,yes,NP,yes,no
Mark Morgan,YNG Las Vegas,89103,markmorgan,NP,+1 (555) 139-7862,mark.morgan@mac.com,no,NP,no,yes
John Howard,YNG San Francisco,94114,johnhoward,johnhoward,+1 (555) 620-5922,john.howard@outlook.com,no,yes,yes,no
Jimmy Hunt,YNG Los Angeles,90003,NP,jimmyhunt,+1 (555) 028-2882,jimmy.hunt@yahoo.com,NP,yes,no,yes
Troy Rivera,YNG Los Angeles,90016,troyrivera,NP,+1 (555) 818-1270,troy.rivera@mahoney.org,yes,NP,no,yes
Kristin Parker,YNG Los Angeles,90016,kristinparker,kristinparker,+1 (555) 353-9294,kristin.parker@yahoo.com,yes,yes,no,no
Maureen Mccarty,YNG Utah,84104,NP,NP,NP,maureen.mccarty@stanford.edu,NP,NP,NP,yes
Thomas Massey,YNG Las Vegas,89109,thomasmassey,thomasmassey,+1 (555) 226-2534,thomas.massey@gmail.com,yes,yes,no,yes
Kimberly Bradford,YNG LA Universities,90043,kimberlybradford,kimberlybradford,+1 (555) 749-4258,kimberly.bradford@icloud.com,yes,yes,no,yes
Rachel Burke,YNG Los Angeles,90003,NP,rachelburke,NP,rachel.burke@stanford.edu,NP,yes,NP,yes
Steven Ramos,YNG Los Angeles,90014,NP,stevenramos,+1 (555) 751-3170,steven.ramos@stanford.edu,NP,yes,yes,no
Cynthia White,YNG Utah,84112,NP,cynthiawhite,+1 (555) 336-9608,cynthia.white@company.com,NP,no,yes,yes
Elizabeth Rogers,YNG Los Angeles,90015,elizabethrogers,elizabethrogers,+1 (555) 925-3662,elizabeth.rogers@ucla.edu,no,no,yes,no
Jennifer Richmond,YNG San Francisco,94116,jenniferrichmond,jenniferrichmond,+1 (555) 123-5848,jennifer.richmond@outlook.com,yes,yes,no,yes
Amanda Tucker,YNG Los Angeles,90003,amandatucker,NP,+1 (555) 392-6565,amanda.tucker@outlook.com,yes,NP,yes,no
April Velasquez,YNG San Diego,92102,aprilvelasquez,NP,+1 (555) 187-6236,april.velasquez@icloud.com,yes,NP,yes,yes
Kimberly Alvarez,YNG Utah,84116,kimberlyalvarez,NP,+1 (555) 563-9737,kimberly.alvarez@ucla.edu,no,NP,yes,no
Matthew Watts,YNG Seattle,98108,NP,matthewwatts,+1 (555) 145-2581,matthew.watts@mac.com,NP,yes,yes,yes
David Aguilar,YNG San Diego,92103,davidaguilar,NP,+1 (555) 055-5717,david.aguilar@hubbard.com,no,NP,no,no
Maria Carlson,YNG Utah,84116,mariacarlson,mariacarlson,NP,maria.carlson@outlook.com,yes,yes,NP,yes
Audrey Kim,YNG San Francisco,94114,audreykim,audreykim,+1 (555) 142-0840,audrey.kim@gmail.com,yes,yes,yes,no
Jeremy Smith,YNG Utah,84111,jeremysmith,NP,+1 (555) 997-9874,jeremy.smith@company.com,no,NP,yes,no
Melissa Johnson,YNG San Francisco,94117,melissajohnson,melissajohnson,+1 (555) 347-2224,melissa.johnson@ucla.edu,yes,no,no,no
Gregory Flores,YNG Los Angeles,90016,gregoryflores,gregoryflores,NP,gregory.flores@ucla.edu,no,no,NP,yes
Ryan Silva,YNG LA Universities,90042,ryansilva,ryansilva,+1 (555) 905-2020,ryan.silva@gmail.com,no,no,no,no
James Hudson,YNG Las Vegas,89112,jameshudson,jameshudson,NP,james.hudson@aol.com,yes,no,NP,yes
Austin Mcclure,YNG Seattle,98104,austinmcclure,austinmcclure,+1 (555) 836-7732,austin.mcclure@company.com,yes,yes,yes,no
Jeremy Diaz,YNG Seattle,98113,jeremydiaz,jeremydiaz,+1 (555) 770-5053,jeremy.diaz@company.com,yes,no,yes,no
Justin Blair,YNG San Francisco,94121,justinblair,NP,+1 (555) 812-6601,justin.blair@mac.com,no,NP,yes,no
Ronald Wagner,YNG LA Universities,90041,ronaldwagner,ronaldwagner,+1 (555) 707-4744,ronald.wagner@yahoo.com,yes,yes,yes,no
Michele Sullivan,YNG Seattle,98111,michelesullivan,NP,NP,michele.sullivan@terry-scott.com,no,NP,NP,yes
Taylor Stanley,YNG Las Vegas,89101,taylorstanley,taylorstanley,+1 (555) 356-2395,taylor.stanley@icloud.com,yes,yes,no,yes
Laura West,YNG Seattle,98110,NP,laurawest,+1 (555) 612-3672,laura.west@stanford.edu,NP,yes,no,yes
Tristan Galvan,YNG Utah,84104,NP,tristangalvan,+1 (555) 082-1860,tristan.galvan@aol.com,NP,no,no,no
Carolyn Jones,YNG Las Vegas,89107,NP,NP,+1 (555) 499-0803,carolyn.jones@gmail.com,NP,NP,no,no
William Carrillo,YNG Seattle,98116,williamcarrillo,williamcarrillo,+1 (555) 642-6569,william.carrillo@outlook.com,no,yes,yes,yes
Caroline Walter,YNG Seattle,98115,NP,carolinewalter,+1 (555) 901-5363,caroline.walter@yahoo.com,NP,no,no,no
Joann Allen,YNG Las Vegas,89102,NP,joannallen,+1 (555) 029-6192,joann.allen@stanford.edu,NP,yes,no,no
Emily Walker,YNG Seattle,98104,emilywalker,emilywalker,+1 (555) 729-1107,emily.walker@mac.com,yes,yes,no,yes
Joseph Stone,YNG San Diego,92111,josephstone,josephstone,+1 (555) 781-4516,joseph.stone@mac.com,yes,no,no,no
Kevin Adkins,YNG Seattle,98110,kevinadkins,NP,+1 (555) 950-7792,kevin.adkins@outlook.com,yes,NP,no,no
Jessica Hart,YNG Las Vegas,89107,jessicahart,jessicahart,+1 (555) 790-3674,jessica.hart@icloud.com,yes,no,yes,no
Julie Osborne,YNG LA Universities,90036,julieosborne,julieosborne,+1 (555) 452-1650,julie.osborne@aol.com,yes,yes,no,no
Mike Hooper,YNG Utah,84111,mikehooper,mikehooper,+1 (555) 601-9850,mike.hooper@yahoo.com,yes,yes,no,yes
Emily Lynch,YNG Seattle,98112,emilylynch,emilylynch,+1 (555) 212-7953,emily.lynch@pearson.com,no,no,no,no
Walter Mosley,YNG Los Angeles,90007,waltermosley,waltermosley,+1 (555) 214-9962,walter.mosley@stanford.edu,yes,yes,no,yes
Samuel Ross,YNG San Francisco,94116,samuelross,samuelross,+1 (555) 361-5152,samuel.ross@gmail.com,yes,no,no,yes
Derrick Marquez,YNG LA Universities,90024,derrickmarquez,derrickmarquez,+1 (555) 814-8008,derrick.marquez@ucla.edu,yes,no,no,yes
Justin Snyder,YNG Seattle,98110,justinsnyder,justinsnyder,NP,justin.snyder@aol.com,no,no,NP,yes
Sierra Robinson,YNG San Francisco,94108,sierrarobinson,sierrarobinson,+1 (555) 496-7751,sierra.robinson@outlook.com,no,no,yes,yes
Erin Gilbert,YNG Seattle,98112,eringilbert,NP,+1 (555) 890-9933,erin.gilbert@yahoo.com,no,NP,no,yes
Peter Ford,YNG LA Universities,90041,NP,NP,NP,peter.ford@gmail.com,NP,NP,NP,yes
John Morris,YNG San Francisco,94115,johnmorris,NP,+1 (555) 466-5270,john.morris@harris.com,no,NP,yes,yes
Kathy Rivera,YNG Seattle,98101,kathyrivera,kathyrivera,+1 (555) 724-3235,kathy.rivera@gmail.com,yes,no,no,no
Matthew Lamb,YNG LA Universities,90039,matthewlamb,NP,+1 (555) 352-1285,matthew.lamb@yahoo.com,yes,NP,yes,yes
Brandon Paul,YNG LA Universities,90036,NP,brandonpaul,+1 (555) 028-8179,brandon.paul@gmail.com,NP,yes,no,no
Rhonda May,YNG Seattle,98113,rhondamay,rhondamay,+1 (555) 776-0510,rhonda.may@ucla.edu,no,no,no,yes
Scott Perez,YNG Los Angeles,90014,scottperez,scottperez,+1 (555) 708-4655,scott.perez@moreno-warren.org,yes,no,yes,no
Michelle Thompson,YNG San Diego,92114,michellethompson,michellethompson,NP,michelle.thompson@ucla.edu,yes,no,NP,no
Courtney Harrison,YNG Utah,84111,courtneyharrison,courtneyharrison,+1 (555) 449-9972,courtney.harrison@ucla.edu,no,yes,no,yes
Elizabeth Gates,YNG San Francisco,94108,elizabethgates,elizabethgates,+1 (555) 970-4167,elizabeth.gates@stanford.edu,no,no,no,no
John Travis,YNG Los Angeles,90012,johntravis,johntravis,+1 (555) 280-0721,john.travis@outlook.com,no,no,no,yes
Brandy Wagner,YNG Los Angeles,90011,brandywagner,brandywagner,+1 (555) 719-2025,brandy.wagner@patterson.com,no,no,no,no
Eric Clark,YNG Utah,84108,ericclark,ericclark,+1 (555) 431-5718,eric.clark@icloud.com,no,yes,yes,yes
Derrick Williams,YNG Los Angeles,90003,derrickwilliams,derrickwilliams,+1 (555) 642-9132,derrick.williams@company.com,yes,no,yes,no
Jodi Skinner,YNG Los Angeles,90014,jodiskinner,jodiskinner,+1 (555) 390-9907,jodi.skinner@company.com,no,no,no,yes
Rachel Love,YNG San Francisco,94105,rachellove,rachellove,+1 (555) 679-2020,rachel.love@gmail.com,no,no,yes,yes
Taylor Gibbs,YNG Las Vegas,89106,taylorgibbs,taylorgibbs,+1 (555) 061-5001,taylor.gibbs@stanford.edu,yes,yes,yes,yes
Amy Johnson,YNG LA Universities,90095,amyjohnson,amyjohnson,+1 (555) 403-1032,amy.johnson@yahoo.com,no,no,yes,no
Catherine Hall,YNG Las Vegas,89110,catherinehall,catherinehall,+1 (555) 157-1461,catherine.hall@gmail.com,yes,no,no,yes
Scott Moss,YNG Los Angeles,90003,scottmoss,scottmoss,NP,scott.moss@icloud.com,yes,yes,NP,no
Jacob Hamilton,YNG San Francisco,94118,jacobhamilton,jacobhamilton,+1 (555) 674-6232,jacob.hamilton@osborn.com,yes,yes,no,yes
Alexandra Wells,YNG San Diego,92102,alexandrawells,alexandrawells,+1 (555) 121-4652,alexandra.wells@stanford.edu,yes,yes,yes,no
Laurie Baker,YNG Las Vegas,89111,lauriebaker,lauriebaker,NP,laurie.baker@icloud.com,yes,yes,NP,yes
Mr. Hayden Miller Jr.,YNG Los Angeles,90003,mr.haydenmillerjr.,NP,+1 (555) 927-8732,mr..hayden.miller.jr.@icloud.com,yes,NP,no,no
Jeffrey Martin,YNG San Francisco,94109,jeffreymartin,jeffreymartin,NP,jeffrey.martin@yahoo.com,no,no,NP,no
Heather Johnson,YNG LA Universities,90040,NP,NP,+1 (555) 560-6554,heather.johnson@stanford.edu,NP,NP,no,no
Natalie Hartman,YNG San Diego,92104,nataliehartman,NP,NP,natalie.hartman@yahoo.com,yes,NP,NP,no
Cynthia Moody,YNG Utah,84108,cynthiamoody,cynthiamoody,+1 (555) 875-3854,cynthia.moody@outlook.com,yes,yes,yes,yes
Jake Hutchinson,YNG Las Vegas,89115,jakehutchinson,jakehutchinson,+1 (555) 060-4660,jake.hutchinson@yahoo.com,yes,no,yes,no
Steven Lloyd,YNG Los Angeles,90005,stevenlloyd,NP,+1 (555) 065-7468,steven.lloyd@mac.com,no,NP,yes,yes
Robert Mullins,YNG Los Angeles,90016,robertmullins,robertmullins,+1 (555) 016-7358,robert.mullins@gmail.com,no,no,yes,yes
Albert Forbes,YNG LA Universities,90089,albertforbes,albertforbes,+1 (555) 227-1859,albert.forbes@mac.com,no,yes,no,no
Sabrina Gray,YNG Seattle,98113,sabrinagray,NP,+1 (555) 398-5551,sabrina.gray@outlook.com,yes,NP,yes,yes
Mike Smith,YNG Utah,84114,mikesmith,mikesmith,NP,mike.smith@ucla.edu,yes,no,NP,no
Marcus Ford,YNG LA Universities,90039,marcusford,NP,+1 (555) 997-2359,marcus.ford@gmail.com,yes,NP,no,no
Alexandria Brown,YNG Utah,84103,alexandriabrown,NP,NP,alexandria.brown@gmail.com,yes,NP,NP,yes
Stephanie Richardson,YNG San Diego,92110,stephanierichardson,NP,+1 (555) 532-0659,stephanie.richardson@yahoo.com,no,NP,yes,no
Savannah Wilson,YNG San Diego,92116,NP,savannahwilson,+1 (555) 909-5812,savannah.wilson@aol.com,NP,yes,yes,no
Phillip Horton,YNG San Francisco,94111,NP,philliphorton,+1 (555) 737-8238,phillip.horton@icloud.com,NP,no,yes,no
Lisa Howell,YNG Seattle,98113,lisahowell,NP,NP,lisa.howell@company.com,yes,NP,NP,yes
Wesley Ortiz,YNG Los Angeles,90006,wesleyortiz,wesleyortiz,+1 (555) 423-2943,wesley.ortiz@ucla.edu,yes,yes,yes,no
Keith Woodward,YNG Los Angeles,90009,keithwoodward,keithwoodward,+1 (555) 063-2471,keith.woodward@outlook.com,no,yes,no,yes
Rebecca Dunn,YNG Los Angeles,90007,rebeccadunn,rebeccadunn,+1 (555) 114-6348,rebecca.dunn@outlook.com,yes,yes,no,no
Sherry Byrd,YNG LA Universities,90040,sherrybyrd,sherrybyrd,NP,sherry.byrd@gmail.com,yes,no,NP,no
Glenn Leach,YNG Utah,84111,glennleach,NP,+1 (555) 296-9450,glenn.leach@icloud.com,no,NP,yes,yes
Justin Rosario,YNG LA Universities,90037,justinrosario,justinrosario,+1 (555) 035-8466,justin.rosario@gmail.com,no,yes,no,yes
Colin Perez,YNG Utah,84107,colinperez,colinperez,NP,colin.perez@icloud.com,yes,no,NP,yes
Mike Foster,YNG LA Universities,90042,mikefoster,mikefoster,+1 (555) 495-1702,mike.foster@gmail.com,no,yes,yes,no
Dennis Pierce,YNG LA Universities,90043,dennispierce,dennispierce,+1 (555) 002-4891,dennis.pierce@company.com,yes,no,yes,no
Stephanie Munoz,YNG San Diego,92103,stephaniemunoz,stephaniemunoz,NP,stephanie.munoz@icloud.com,no,no,NP,yes
Michael Walton,YNG San Diego,92114,michaelwalton,michaelwalton,+1 (555) 804-5369,michael.walton@gmail.com,no,yes,no,no
David Price,YNG Los Angeles,90010,NP,davidprice,+1 (555) 880-5681,david.price@yahoo.com,NP,no,yes,yes
Michael Hamilton,YNG Utah,84115,michaelhamilton,michaelhamilton,NP,michael.hamilton@mac.com,no,yes,NP,no
Kevin Torres DDS,YNG Los Angeles,90014,NP,NP,NP,kevin.torres.dds@jones.com,NP,NP,NP,no
Jennifer Mccarty,YNG San Diego,92104,jennifermccarty,jennifermccarty,+1 (555) 370-1369,jennifer.mccarty@outlook.com,no,no,yes,no
Cheryl Robinson,YNG San Diego,92115,cherylrobinson,cherylrobinson,+1 (555) 836-6297,cheryl.robinson@icloud.com,no,no,yes,no
