Name,Chapter Affiliation,Zip Code,LinkedIn,Instagram,Phone Number,Email,LinkedIn Public,Instagram Public,Phone Number Public,Email Public,Latitude,Longitude
Jesus Shelton,YNG San Francisco,94102,jesusshelton,jesusshelton,+1 (555) 301-0232,jesus.shelton@mac.com,no,no,yes,yes,37.78238154512195,-122.4153735297561
Patrick Jones,YNG LA Universities,90025,patrickjones,patrickjones,+1 (555) 752-5353,patrick.jones@yahoo.com,no,yes,yes,yes,34.04410998329571,-118.45241107810382
Rachel Marquez,YNG Las Vegas,89106,NP,rachelmarquez,+1 (555) 181-3727,rachel.marquez@outlook.com,NP,yes,no,no,36.17634431707317,-115.16155537804877
Ryan Dawson,YNG Utah,84104,ryandawson,NP,+1 (555) 072-7060,ryan.dawson@company.com,no,NP,yes,no,40.741115192358805,-111.93280774850497
Kevin Gonzales,YNG Utah,84107,kevingonzales,NP,+1 (555) 034-3046,kevin.gonzales@outlook.com,no,NP,no,no,40.64275919912425,-111.87970474318554
Holly Calderon,YNG Las Vegas,89112,NP,hollycalderon,+1 (555) 841-1566,holly.calderon@cooper.biz,NP,no,yes,yes,36.0863024,-115.0410112
Elizabeth Johnson,YNG Las Vegas,89110,elizabethjohnson,elizabethjohnson,+1 (555) 808-1401,elizabeth.johnson@mac.com,no,no,yes,yes,36.170392276,-115.067424178
Christina Anderson,YNG Los Angeles,90014,christinaanderson,christinaanderson,NP,christina.anderson@yahoo.com,yes,yes,NP,no,34.043170657522126,-118.25211756637168
Jack Smith,YNG Los Angeles,90012,jacksmith,jacksmith,+1 (555) 720-9624,jack.smith@aol.com,yes,yes,no,no,34.057665614962595,-118.23937987980051
Debra Butler,YNG Seattle,98114,NP,debrabutler,+1 (555) 871-3932,debra.butler@ucla.edu,NP,no,no,yes,,
Marilyn Flores,YNG LA Universities,90041,marilynflores,marilynflores,+1 (555) 491-1010,marilyn.flores@icloud.com,yes,no,no,yes,34.1326234462963,-118.21113965555556
Michael Horton,YNG San Francisco,94103,NP,michaelhorton,NP,michael.horton@wilson-robinson.com,NP,yes,NP,yes,37.77462658826869,-122.41115027729423
Michael Jackson,YNG Los Angeles,90003,michaeljackson,NP,+1 (555) 285-3365,michael.jackson@icloud.com,no,NP,no,no,33.96916498947368,-118.27548059005846
Kelly Hinton,YNG San Diego,92113,kellyhinton,kellyhinton,NP,kelly.hinton@horton.biz,yes,no,NP,no,32.698107316743204,-117.11821616750653
James Bender,YNG San Francisco,94116,jamesbender,jamesbender,+1 (555) 115-6285,james.bender@aol.com,yes,yes,yes,yes,37.74632291441879,-122.47329442721751
Megan Mccarthy,YNG Las Vegas,89109,meganmccarthy,meganmccarthy,+1 (555) 146-2761,megan.mccarthy@mac.com,yes,yes,yes,yes,36.11869316430769,-115.16679650338462
Richard Howell,YNG Los Angeles,90013,NP,richardhowell,+1 (555) 668-1682,richard.howell@stanford.edu,NP,no,yes,no,34.04505107228682,-118.24281050697675
Michele Campbell,YNG San Diego,92104,NP,michelecampbell,+1 (555) 554-3287,michele.campbell@mac.com,NP,yes,yes,yes,32.74314012953933,-117.12772859057556
Megan Greene,YNG LA Universities,90038,megangreene,NP,+1 (555) 909-9178,megan.greene@gomez-taylor.com,no,NP,no,no,34.088968077227726,-118.33085199702971
Maria Krause,YNG San Francisco,94110,mariakrause,mariakrause,+1 (555) 908-9310,maria.krause@gmail.com,no,no,no,yes,37.76890161721854,-122.35280078653422
Tanya Solis,YNG LA Universities,90038,tanyasolis,tanyasolis,+1 (555) 353-1570,tanya.solis@company.com,no,yes,no,yes,34.088968077227726,-118.33085199702971
Jeffrey Burnett,YNG Las Vegas,89107,jeffreyburnett,jeffreyburnett,+1 (555) 977-4110,jeffrey.burnett@ucla.edu,yes,yes,yes,no,36.171054723404254,-115.21739790212767
Monica Perez,YNG San Diego,92103,monicaperez,monicaperez,+1 (555) 890-3062,monica.perez@gmail.com,no,no,yes,yes,32.74697101210486,-117.16841155256746
Phillip Smith,YNG Utah,84115,phillipsmith,NP,NP,phillip.smith@yahoo.com,yes,NP,NP,no,40.731613839683504,-111.88645985818624
John Spencer,YNG Seattle,98111,johnspencer,johnspencer,+1 (555) 720-9721,john.spencer@icloud.com,yes,yes,no,no,,
Wayne Johnson,YNG Los Angeles,90002,waynejohnson,waynejohnson,+1 (555) 002-8736,wayne.johnson@ucla.edu,no,no,yes,no,33.95558161991525,-118.24753149491525
Phyllis Burnett,YNG Seattle,98109,phyllisburnett,phyllisburnett,+1 (555) 449-3592,phyllis.burnett@yahoo.com,yes,no,no,no,47.63319124741345,-122.34864867968564
John Bryant,YNG Seattle,98101,johnbryant,johnbryant,+1 (555) 202-4665,john.bryant@yahoo.com,yes,yes,yes,no,47.61075819872804,-122.33619798625075
William Morton,YNG Los Angeles,90008,williammorton,williammorton,+1 (555) 714-3740,william.morton@icloud.com,no,yes,no,no,34.008551975051546,-118.33036155051546
Caroline Odonnell,YNG Los Angeles,90004,carolineodonnell,carolineodonnell,NP,caroline.odonnell@outlook.com,no,no,NP,no,34.07343115416667,-118.300806646875
Christian Reynolds,YNG Seattle,98114,christianreynolds,christianreynolds,+1 (555) 946-8105,christian.reynolds@ucla.edu,yes,no,no,yes,,
Tyler Spencer,YNG San Diego,92104,tylerspencer,NP,+1 (555) 604-3660,tyler.spencer@icloud.com,yes,NP,no,yes,32.74314012953933,-117.12772859057556
Maria Miller,YNG San Francisco,94116,mariamiller,mariamiller,+1 (555) 718-0575,maria.miller@yahoo.com,no,yes,no,no,37.74632291441879,-122.47329442721751
Luke White,YNG Utah,84107,lukewhite,NP,+1 (555) 553-6002,luke.white@ucla.edu,yes,NP,yes,no,40.64275919912425,-111.87970474318554
James Carter,YNG Las Vegas,89103,NP,NP,+1 (555) 481-0870,james.carter@gmail.com,NP,NP,no,yes,36.11139455813953,-115.2055480635659
Sean Mckinney,YNG San Diego,92114,seanmckinney,seanmckinney,+1 (555) 536-6986,sean.mckinney@icloud.com,yes,no,yes,yes,32.70640174765625,-117.05330057130207
Alexis Reyes,YNG Los Angeles,90010,alexisreyes,alexisreyes,+1 (555) 583-8186,alexis.reyes@aol.com,yes,yes,yes,yes,34.061775214893615,-118.30393842978724
Steven Smith,YNG Utah,84114,NP,stevensmith,+1 (555) 232-8874,steven.smith@mac.com,NP,no,yes,no,,
Jeffrey Palmer,YNG Seattle,98103,jeffreypalmer,jeffreypalmer,+1 (555) 903-1909,jeffrey.palmer@yahoo.com,no,no,yes,yes,47.67366397819063,-122.34400619761135
Christina Hobbs,YNG San Francisco,94108,christinahobbs,NP,+1 (555) 824-3336,christina.hobbs@ucla.edu,yes,NP,yes,yes,37.790616552549025,-122.40632249019609
Mark Oliver,YNG Los Angeles,90002,markoliver,NP,+1 (555) 599-1443,mark.oliver@ucla.edu,no,NP,yes,no,33.95558161991525,-118.24753149491525
Dr. Anthony Parker,YNG Los Angeles,90007,dr.anthonyparker,NP,+1 (555) 964-0842,dr..anthony.parker@mac.com,no,NP,yes,yes,34.03069760668524,-118.2794813292479
Peter Pace,YNG Los Angeles,90011,peterpace,peterpace,+1 (555) 931-7269,peter.pace@gmail.com,no,yes,no,no,34.009430135350314,-118.25934578152867
Kathleen Farmer,YNG Las Vegas,89102,kathleenfarmer,NP,+1 (555) 749-6856,kathleen.farmer@aol.com,no,NP,no,yes,36.14224322672413,-115.18902681206896
Tiffany Schneider,YNG San Diego,92105,NP,tiffanyschneider,+1 (555) 489-2253,tiffany.schneider@ucla.edu,NP,no,no,yes,32.74001288204097,-117.09446547425873
David Reyes,YNG Utah,84116,davidreyes,davidreyes,NP,david.reyes@outlook.com,no,no,NP,yes,40.78606765402901,-111.92881288309832
Cynthia Thompson,YNG Los Angeles,90012,cynthiathompson,cynthiathompson,+1 (555) 934-0046,cynthia.thompson@jimenez-jordan.info,yes,yes,yes,no,34.057665614962595,-118.23937987980051
Victoria Estrada,YNG LA Universities,90024,NP,victoriaestrada,+1 (555) 838-6166,victoria.estrada@stanford.edu,NP,no,no,yes,34.06164577459678,-118.4445646641129
Mark Gaines,YNG Las Vegas,89109,markgaines,NP,+1 (555) 516-4259,mark.gaines@stanford.edu,yes,NP,yes,no,36.11869316430769,-115.16679650338462
David Stevens,YNG San Diego,92110,davidstevens,davidstevens,NP,david.stevens@aol.com,no,yes,NP,yes,32.77009927021764,-117.1986468325697
John Jones,YNG Los Angeles,90002,NP,johnjones,+1 (555) 408-5081,john.jones@gmail.com,NP,yes,yes,no,33.95558161991525,-118.24753149491525
Carrie Young,YNG Los Angeles,90003,carrieyoung,carrieyoung,+1 (555) 326-7324,carrie.young@icloud.com,yes,no,no,no,33.96916498947368,-118.27548059005846
Edward Rodriguez,YNG Seattle,98113,edwardrodriguez,edwardrodriguez,+1 (555) 234-9585,edward.rodriguez@stanford.edu,yes,yes,yes,no,47.68936955,-122.35480585
Dana Lane,YNG Los Angeles,90016,danalane,danalane,+1 (555) 291-0133,dana.lane@lopez-fletcher.biz,yes,no,yes,no,34.03107666405959,-118.34381972234638
Andrea Scott,YNG Los Angeles,90009,andreascott,andreascott,NP,andrea.scott@stanford.edu,yes,yes,NP,yes,33.952758,-118.385942
Danielle Myers,YNG San Francisco,94121,NP,daniellemyers,+1 (555) 358-5141,danielle.myers@aol.com,NP,no,no,yes,37.77881306944444,-122.48905604492752
Taylor Cuevas,YNG Las Vegas,89112,taylorcuevas,taylorcuevas,+1 (555) 925-7947,taylor.cuevas@aol.com,yes,no,no,no,36.0863024,-115.0410112
Ryan Brown,YNG Los Angeles,90013,ryanbrown,ryanbrown,+1 (555) 235-7515,ryan.brown@gmail.com,no,no,no,no,34.04505107228682,-118.24281050697675
Glenda Stephens,YNG Seattle,98111,NP,glendastephens,+1 (555) 620-5014,glenda.stephens@aol.com,NP,no,yes,yes,,
Gail Stewart,YNG LA Universities,90042,gailstewart,gailstewart,+1 (555) 800-1980,gail.stewart@yahoo.com,no,yes,yes,no,34.1103185335443,-118.19345727088609
Craig Simpson,YNG San Francisco,94111,craigsimpson,craigsimpson,+1 (555) 635-3470,craig.simpson@mac.com,yes,no,yes,no,37.795120261267606,-122.39955978732395
Joseph Mcfarland,YNG Utah,84109,josephmcfarland,NP,NP,joseph.mcfarland@icloud.com,yes,NP,NP,no,40.71942042691722,-111.82023214900966
Mrs. Miranda Smith,YNG Las Vegas,89110,mrs.mirandasmith,mrs.mirandasmith,+1 (555) 609-2319,mrs..miranda.smith@mac.com,no,yes,yes,yes,36.170392276,-115.067424178
Breanna Oconnell,YNG Seattle,98111,breannaoconnell,breannaoconnell,+1 (555) 672-3492,breanna.oconnell@ucla.edu,yes,no,yes,yes,,
Barbara Norman,YNG Utah,84101,NP,barbaranorman,+1 (555) 042-1186,barbara.norman@icloud.com,NP,yes,yes,yes,40.76142450147929,-111.89750995384614
Stacey Campbell,YNG San Diego,92105,staceycampbell,staceycampbell,+1 (555) 567-9779,stacey.campbell@icloud.com,yes,no,no,no,32.74001288204097,-117.09446547425873
Bradley Berry,YNG Seattle,98113,bradleyberry,bradleyberry,+1 (555) 475-0738,bradley.berry@ucla.edu,no,yes,no,yes,47.68936955,-122.35480585
Amanda Oneal,YNG Los Angeles,90006,NP,NP,+1 (555) 902-4111,amanda.oneal@outlook.com,NP,NP,yes,no,34.04980037777778,-118.28997994482758
Brittney Fields,YNG San Diego,92103,brittneyfields,brittneyfields,+1 (555) 400-5300,brittney.fields@aol.com,no,no,no,no,32.74697101210486,-117.16841155256746
Jason Robertson,YNG San Francisco,94105,jasonrobertson,jasonrobertson,+1 (555) 853-9890,jason.robertson@stanford.edu,no,no,yes,yes,37.788532124747476,-122.39720935454545
Stefanie Ray,YNG LA Universities,90041,stefanieray,stefanieray,NP,stefanie.ray@yahoo.com,yes,yes,NP,yes,34.1326234462963,-118.21113965555556
William Moore,YNG San Francisco,94108,williammoore,williammoore,+1 (555) 259-3385,william.moore@smith.com,no,no,yes,yes,37.790616552549025,-122.40632249019609
Austin Johnson,YNG Los Angeles,90012,austinjohnson,austinjohnson,+1 (555) 013-6927,austin.johnson@walker-ingram.com,yes,yes,no,no,34.057665614962595,-118.23937987980051
Jamie Mays,YNG Seattle,98104,NP,jamiemays,+1 (555) 332-0003,jamie.mays@ucla.edu,NP,no,no,no,47.60163380473738,-122.32918632111225
Catherine Fischer,YNG LA Universities,90042,NP,catherinefischer,NP,catherine.fischer@company.com,NP,yes,NP,no,34.1103185335443,-118.19345727088609
Jason Sanchez,YNG LA Universities,90036,jasonsanchez,NP,NP,jason.sanchez@icloud.com,no,NP,NP,yes,34.06722566217617,-118.35333126943004
Sarah Rodriguez,YNG Los Angeles,90015,sarahrodriguez,sarahrodriguez,NP,sarah.rodriguez@outlook.com,no,yes,NP,yes,34.04001444301994,-118.26274099629629
Aaron Ross,YNG Seattle,98103,aaronross,NP,NP,aaron.ross@aol.com,no,NP,NP,yes,47.67366397819063,-122.34400619761135
Katherine Navarro,YNG LA Universities,90024,NP,katherinenavarro,+1 (555) 355-7040,katherine.navarro@stanford.edu,NP,no,yes,yes,34.06164577459678,-118.4445646641129
Courtney Mcneil,YNG San Diego,92101,courtneymcneil,courtneymcneil,NP,courtney.mcneil@aol.com,yes,yes,NP,no,32.72082406612426,-117.16207764308432
Megan Johnson,YNG Las Vegas,89101,meganjohnson,meganjohnson,+1 (555) 302-1255,megan.johnson@aol.com,no,no,no,no,36.166927711666666,-115.1392646161111
Teresa Young,YNG San Diego,92108,teresayoung,teresayoung,+1 (555) 261-6156,teresa.young@mac.com,no,yes,no,yes,32.774597344770406,-117.13752803890307
Kenneth Smith,YNG Seattle,98107,kennethsmith,kennethsmith,+1 (555) 056-6947,kenneth.smith@richardson.info,no,yes,no,no,47.669277556969114,-122.37647952777958
Mark Ellis,YNG LA Universities,90043,NP,NP,NP,mark.ellis@company.com,NP,NP,NP,no,33.99208529643504,-118.34597650719033
Sara Ibarra,YNG Utah,84105,saraibarra,saraibarra,+1 (555) 133-9474,sara.ibarra@yahoo.com,no,no,yes,yes,40.73777872010927,-111.85961518741138
Carolyn Swanson,YNG Las Vegas,89115,carolynswanson,NP,+1 (555) 162-9689,carolyn.swanson@nelson-dean.biz,yes,NP,yes,no,36.24415265913978,-115.05055500860215
Mark Morgan,YNG Las Vegas,89103,markmorgan,NP,+1 (555) 139-7862,mark.morgan@mac.com,no,NP,no,yes,36.11139455813953,-115.2055480635659
John Howard,YNG San Francisco,94114,johnhoward,johnhoward,+1 (555) 620-5922,john.howard@outlook.com,no,yes,yes,no,37.76158910852018,-122.43637736233184
Jimmy Hunt,YNG Los Angeles,90003,NP,jimmyhunt,+1 (555) 028-2882,jimmy.hunt@yahoo.com,NP,yes,no,yes,33.96916498947368,-118.27548059005846
Troy Rivera,YNG Los Angeles,90016,troyrivera,NP,+1 (555) 818-1270,troy.rivera@mahoney.org,yes,NP,no,yes,34.03107666405959,-118.34381972234638
Kristin Parker,YNG Los Angeles,90016,kristinparker,kristinparker,+1 (555) 353-9294,kristin.parker@yahoo.com,yes,yes,no,no,34.03107666405959,-118.34381972234638
Maureen Mccarty,YNG Utah,84104,NP,NP,NP,maureen.mccarty@stanford.edu,NP,NP,NP,yes,40.741115192358805,-111.93280774850497
Thomas Massey,YNG Las Vegas,89109,thomasmassey,thomasmassey,+1 (555) 226-2534,thomas.massey@gmail.com,yes,yes,no,yes,36.11869316430769,-115.16679650338462
Kimberly Bradford,YNG LA Universities,90043,kimberlybradford,kimberlybradford,+1 (555) 749-4258,kimberly.bradford@icloud.com,yes,yes,no,yes,33.99208529643504,-118.34597650719033
Rachel Burke,YNG Los Angeles,90003,NP,rachelburke,NP,rachel.burke@stanford.edu,NP,yes,NP,yes,33.96916498947368,-118.27548059005846
Steven Ramos,YNG Los Angeles,90014,NP,stevenramos,+1 (555) 751-3170,steven.ramos@stanford.edu,NP,yes,yes,no,34.043170657522126,-118.25211756637168
Cynthia White,YNG Utah,84112,NP,cynthiawhite,+1 (555) 336-9608,cynthia.white@company.com,NP,no,yes,yes,40.76419661020408,-111.84354462142856
Elizabeth Rogers,YNG Los Angeles,90015,elizabethrogers,elizabethrogers,+1 (555) 925-3662,elizabeth.rogers@ucla.edu,no,no,yes,no,34.04001444301994,-118.26274099629629
Jennifer Richmond,YNG San Francisco,94116,jenniferrichmond,jenniferrichmond,+1 (555) 123-5848,jennifer.richmond@outlook.com,yes,yes,no,yes,37.74632291441879,-122.47329442721751
Amanda Tucker,YNG Los Angeles,90003,amandatucker,NP,+1 (555) 392-6565,amanda.tucker@outlook.com,yes,NP,yes,no,33.96916498947368,-118.27548059005846
April Velasquez,YNG San Diego,92102,aprilvelasquez,NP,+1 (555) 187-6236,april.velasquez@icloud.com,yes,NP,yes,yes,32.71536154233766,-117.1193998404278
Kimberly Alvarez,YNG Utah,84116,kimberlyalvarez,NP,+1 (555) 563-9737,kimberly.alvarez@ucla.edu,no,NP,yes,no,40.78606765402901,-111.92881288309832
Matthew Watts,YNG Seattle,98108,NP,matthewwatts,+1 (555) 145-2581,matthew.watts@mac.com,NP,yes,yes,yes,47.54747236369202,-122.31060707138114
David Aguilar,YNG San Diego,92103,davidaguilar,NP,+1 (555) 055-5717,david.aguilar@hubbard.com,no,NP,no,no,32.74697101210486,-117.16841155256746
Maria Carlson,YNG Utah,84116,mariacarlson,mariacarlson,NP,maria.carlson@outlook.com,yes,yes,NP,yes,40.78606765402901,-111.92881288309832
Audrey Kim,YNG San Francisco,94114,audreykim,audreykim,+1 (555) 142-0840,audrey.kim@gmail.com,yes,yes,yes,no,37.76158910852018,-122.43637736233184
Jeremy Smith,YNG Utah,84111,jeremysmith,NP,+1 (555) 997-9874,jeremy.smith@company.com,no,NP,yes,no,40.75204529145455,-111.88275225968182
Melissa Johnson,YNG San Francisco,94117,melissajohnson,melissajohnson,+1 (555) 347-2224,melissa.johnson@ucla.edu,yes,no,no,no,37.767096298840585,-122.45009257518839
Gregory Flores,YNG Los Angeles,90016,gregoryflores,gregoryflores,NP,gregory.flores@ucla.edu,no,no,NP,yes,34.03107666405959,-118.34381972234638
Ryan Silva,YNG LA Universities,90042,ryansilva,ryansilva,+1 (555) 905-2020,ryan.silva@gmail.com,no,no,no,no,34.1103185335443,-118.19345727088609
James Hudson,YNG Las Vegas,89112,jameshudson,jameshudson,NP,james.hudson@aol.com,yes,no,NP,yes,36.0863024,-115.0410112
Austin Mcclure,YNG Seattle,98104,austinmcclure,austinmcclure,+1 (555) 836-7732,austin.mcclure@company.com,yes,yes,yes,no,47.60163380473738,-122.32918632111225
Jeremy Diaz,YNG Seattle,98113,jeremydiaz,jeremydiaz,+1 (555) 770-5053,jeremy.diaz@company.com,yes,no,yes,no,47.68936955,-122.35480585
Justin Blair,YNG San Francisco,94121,justinblair,NP,+1 (555) 812-6601,justin.blair@mac.com,no,NP,yes,no,37.77881306944444,-122.48905604492752
Ronald Wagner,YNG LA Universities,90041,ronaldwagner,ronaldwagner,+1 (555) 707-4744,ronald.wagner@yahoo.com,yes,yes,yes,no,34.1326234462963,-118.21113965555556
Michele Sullivan,YNG Seattle,98111,michelesullivan,NP,NP,michele.sullivan@terry-scott.com,no,NP,NP,yes,,
Taylor Stanley,YNG Las Vegas,89101,taylorstanley,taylorstanley,+1 (555) 356-2395,taylor.stanley@icloud.com,yes,yes,no,yes,36.166927711666666,-115.1392646161111
Laura West,YNG Seattle,98110,NP,laurawest,+1 (555) 612-3672,laura.west@stanford.edu,NP,yes,no,yes,47.63791550334728,-122.52479829790795
Tristan Galvan,YNG Utah,84104,NP,tristangalvan,+1 (555) 082-1860,tristan.galvan@aol.com,NP,no,no,no,40.741115192358805,-111.93280774850497
Carolyn Jones,YNG Las Vegas,89107,NP,NP,+1 (555) 499-0803,carolyn.jones@gmail.com,NP,NP,no,no,36.171054723404254,-115.21739790212767
William Carrillo,YNG Seattle,98116,williamcarrillo,williamcarrillo,+1 (555) 642-6569,william.carrillo@outlook.com,no,yes,yes,yes,47.5739672583109,-122.39417784924855
Caroline Walter,YNG Seattle,98115,NP,carolinewalter,+1 (555) 901-5363,caroline.walter@yahoo.com,NP,no,no,no,47.68457970939674,-122.2999336073585
Joann Allen,YNG Las Vegas,89102,NP,joannallen,+1 (555) 029-6192,joann.allen@stanford.edu,NP,yes,no,no,36.14224322672413,-115.18902681206896
Emily Walker,YNG Seattle,98104,emilywalker,emilywalker,+1 (555) 729-1107,emily.walker@mac.com,yes,yes,no,yes,47.60163380473738,-122.32918632111225
Joseph Stone,YNG San Diego,92111,josephstone,josephstone,+1 (555) 781-4516,joseph.stone@mac.com,yes,no,no,no,32.80063516515932,-117.17300086235451
Kevin Adkins,YNG Seattle,98110,kevinadkins,NP,+1 (555) 950-7792,kevin.adkins@outlook.com,yes,NP,no,no,47.63791550334728,-122.52479829790795
Jessica Hart,YNG Las Vegas,89107,jessicahart,jessicahart,+1 (555) 790-3674,jessica.hart@icloud.com,yes,no,yes,no,36.171054723404254,-115.21739790212767
Julie Osborne,YNG LA Universities,90036,julieosborne,julieosborne,+1 (555) 452-1650,julie.osborne@aol.com,yes,yes,no,no,34.06722566217617,-118.35333126943004
Mike Hooper,YNG Utah,84111,mikehooper,mikehooper,+1 (555) 601-9850,mike.hooper@yahoo.com,yes,yes,no,yes,40.75204529145455,-111.88275225968182
Emily Lynch,YNG Seattle,98112,emilylynch,emilylynch,+1 (555) 212-7953,emily.lynch@pearson.com,no,no,no,no,47.62940494317819,-122.29855891583776
Walter Mosley,YNG Los Angeles,90007,waltermosley,waltermosley,+1 (555) 214-9962,walter.mosley@stanford.edu,yes,yes,no,yes,34.03069760668524,-118.2794813292479
Samuel Ross,YNG San Francisco,94116,samuelross,samuelross,+1 (555) 361-5152,samuel.ross@gmail.com,yes,no,no,yes,37.74632291441879,-122.47329442721751
Derrick Marquez,YNG LA Universities,90024,derrickmarquez,derrickmarquez,+1 (555) 814-8008,derrick.marquez@ucla.edu,yes,no,no,yes,34.06164577459678,-118.4445646641129
Justin Snyder,YNG Seattle,98110,justinsnyder,justinsnyder,NP,justin.snyder@aol.com,no,no,NP,yes,47.63791550334728,-122.52479829790795
Sierra Robinson,YNG San Francisco,94108,sierrarobinson,sierrarobinson,+1 (555) 496-7751,sierra.robinson@outlook.com,no,no,yes,yes,37.790616552549025,-122.40632249019609
Erin Gilbert,YNG Seattle,98112,eringilbert,NP,+1 (555) 890-9933,erin.gilbert@yahoo.com,no,NP,no,yes,47.62940494317819,-122.29855891583776
Peter Ford,YNG LA Universities,90041,NP,NP,NP,peter.ford@gmail.com,NP,NP,NP,yes,34.1326234462963,-118.21113965555556
John Morris,YNG San Francisco,94115,johnmorris,NP,+1 (555) 466-5270,john.morris@harris.com,no,NP,yes,yes,37.7850615469697,-122.43454814898989
Kathy Rivera,YNG Seattle,98101,kathyrivera,kathyrivera,+1 (555) 724-3235,kathy.rivera@gmail.com,yes,no,no,no,47.61075819872804,-122.33619798625075
Matthew Lamb,YNG LA Universities,90039,matthewlamb,NP,+1 (555) 352-1285,matthew.lamb@yahoo.com,yes,NP,yes,yes,34.11432846262626,-118.26331563232324
Brandon Paul,YNG LA Universities,90036,NP,brandonpaul,+1 (555) 028-8179,brandon.paul@gmail.com,NP,yes,no,no,34.06722566217617,-118.35333126943004
Rhonda May,YNG Seattle,98113,rhondamay,rhondamay,+1 (555) 776-0510,rhonda.may@ucla.edu,no,no,no,yes,47.68936955,-122.35480585
Scott Perez,YNG Los Angeles,90014,scottperez,scottperez,+1 (555) 708-4655,scott.perez@moreno-warren.org,yes,no,yes,no,34.043170657522126,-118.25211756637168
Michelle Thompson,YNG San Diego,92114,michellethompson,michellethompson,NP,michelle.thompson@ucla.edu,yes,no,NP,no,32.70640174765625,-117.05330057130207
Courtney Harrison,YNG Utah,84111,courtneyharrison,courtneyharrison,+1 (555) 449-9972,courtney.harrison@ucla.edu,no,yes,no,yes,40.75204529145455,-111.88275225968182
Elizabeth Gates,YNG San Francisco,94108,elizabethgates,elizabethgates,+1 (555) 970-4167,elizabeth.gates@stanford.edu,no,no,no,no,37.790616552549025,-122.40632249019609
John Travis,YNG Los Angeles,90012,johntravis,johntravis,+1 (555) 280-0721,john.travis@outlook.com,no,no,no,yes,34.057665614962595,-118.23937987980051
Brandy Wagner,YNG Los Angeles,90011,brandywagner,brandywagner,+1 (555) 719-2025,brandy.wagner@patterson.com,no,no,no,no,34.009430135350314,-118.25934578152867
Eric Clark,YNG Utah,84108,ericclark,ericclark,+1 (555) 431-5718,eric.clark@icloud.com,no,yes,yes,yes,40.73745373780654,-111.82743855771459
Derrick Williams,YNG Los Angeles,90003,derrickwilliams,derrickwilliams,+1 (555) 642-9132,derrick.williams@company.com,yes,no,yes,no,33.96916498947368,-118.27548059005846
Jodi Skinner,YNG Los Angeles,90014,jodiskinner,jodiskinner,+1 (555) 390-9907,jodi.skinner@company.com,no,no,no,yes,34.043170657522126,-118.25211756637168
Rachel Love,YNG San Francisco,94105,rachellove,rachellove,+1 (555) 679-2020,rachel.love@gmail.com,no,no,yes,yes,37.788532124747476,-122.39720935454545
